year,MSA,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
2009,"Baltimore-Towson, MD",46.5,11.9,39.2,7.4,71.5,22.1,10.3,299200,11.1
2009,"Baton Rouge, LA",45.7,14.6,38,17.5,68.2,24.8,15.6,154300,14
2009,"Birmingham-Hoover, AL",49.7,14.3,36.7,10.7,70.6,22.9,14.3,142000,9.3
2009,"Boise City-Nampa, ID",55.9,10.3,13.6,8.9,79.9,13,14.3,179800,1.6
2009,"Boston-Cambridge-Quincy, MA-NH",46.8,9.4,27.3,7.8,76.6,17.3,9.3,369200,2.4
2009,"Bridgeport-Stamford-Norwalk, CT",53.1,11.3,25,5.7,78.5,15.9,8.3,460500,2
2009,"Buffalo-Niagara Falls, NY",44.9,11.2,35.1,13.8,70.4,22.9,14,116000,6.7
2009,"Cape Coral-Fort Myers, FL",56.2,12.8,36.5,7.6,81.1,12.8,12.7,163600,6.6
2009,"Charleston-North Charleston-Summerville, SC",45,12.9,49.5,10.1,70.3,22.7,15.6,192400,5.5
2009,"Chattanooga, TN-GA",50.8,17,40,14.9,73.6,20,17.7,138200,4.6
2009,"Cincinnati-Middletown, OH-KY-IN",49,12.4,35.2,10.4,74.4,19.8,12.6,156400,4.1
2009,"Cleveland-Elyria-Mentor, OH",45.6,12.3,43.2,12.9,69.8,23.6,15.3,147400,5.8
2009,"Colorado Springs, CO",54.5,6.5,24,6.7,78.9,16.1,11.2,217000,3.3
2009,"Columbia, SC",47.4,11.7,38.7,10.8,71.1,22.9,13.3,141800,6.3
2009,"Columbus, OH",48.1,10.2,36,11.6,73.5,19.7,15.6,162700,5.7
2009,"Dallas-Fort Worth-Arlington, TX",50.2,18.1,32.8,7.8,73.5,19,14.5,149700,4.8
2009,"Dayton, OH",48.3,11.4,43.7,11.3,71.6,21.4,14.7,125600,5.6
2009,"Deltona-Daytona Beach-Ormond Beach, FL",48.5,13.4,27.7,8.6,75.7,17.3,15.1,170100,3.8
2009,"Denver-Aurora-Broomfield, CO",50.9,11.2,27.9,5.4,77.3,16,12,248500,3.9
