MSA_orig,MSA,MSA_abbr,year,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2008,48.1,13.5,35.4,6.6,73.5,18.7,12.6,193700,5.6
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2009,47.3,13.5,40.3,8.8,73.6,19.8,13.9,166000,3.6
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2010,46.3,13.1,39.8,12.9,72.5,20.6,15.4,152200,4.3
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2011,46.3,12.5,43.1,14.3,73.2,20.1,16.3,137400,4.7
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2012,46.1,11.7,37.1,14.7,71.8,20.5,16.4,132400,3.9
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2013,46.2,11.7,44.5,14.6,72.4,20.3,15.4,135400,4.3
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2014,45.7,11.8,41.5,14.1,72,20.2,15.8,149500,5.5
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2015,45,10.7,38.8,14.8,71.3,21.1,14.7,165600,4
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",TAMPA_FL,2016,45.9,11.1,39.7,13.6,72.2,19.9,14.2,175200,3.9
"Toledo, OH","Toledo, OH",TOLEDO_OH,2007,47.5,12.3,42.5,10.7,72,20.9,14.8,134400,2.1
"Toledo, OH","Toledo, OH",TOLEDO_OH,2008,46.2,11.6,46.7,11.9,71.1,21.7,15.8,137400,3.1
"Toledo, OH","Toledo, OH",TOLEDO_OH,2009,47.3,12.4,45.3,15.4,72.7,20.2,16.9,126500,5.4
"Toledo, OH","Toledo, OH",TOLEDO_OH,2010,45.9,10.6,45.3,14.8,70,22.8,17.4,123800,4
"Toledo, OH","Toledo, OH",TOLEDO_OH,2011,44.4,10.9,49.7,18.5,68.1,24.4,20.2,117700,6.1
"Toledo, OH","Toledo, OH",TOLEDO_OH,2012,44.2,10.3,40.9,17.7,71.5,20.8,19.9,114900,7.1
"Toledo, OH","Toledo, OH",TOLEDO_OH,2013,43.5,11.3,37.3,17.7,69.7,23.5,19.5,110900,4.9
"Toledo, OH","Toledo, OH",TOLEDO_OH,2014,44,9.8,44.7,16.7,69.2,21.1,18.8,117200,4.6
"Toledo, OH","Toledo, OH",TOLEDO_OH,2015,43.8,9.7,42.8,17.2,69.5,22.3,17.2,118700,4.4
"Toledo, OH","Toledo, OH",TOLEDO_OH,2016,42.3,9.5,50.2,16.3,67.2,22.3,17.5,129200,7.1
"Tucson, AZ","Tucson, AZ",TUCSON_AZ,2007,46.3,12.9,46.9,8.4,72.2,20,15,210700,7.7
"Tucson, AZ","Tucson, AZ",TUCSON_AZ,2008,45.1,13.1,40.4,8.9,72.7,20.3,15.6,210200,9.5
"Tucson, AZ","Tucson, AZ",TUCSON_AZ,2009,44.2,14.8,45.5,12.4,72.6,20.5,19.3,188500,5.4
"Tucson, AZ","Tucson, AZ",TUCSON_AZ,2010,47.1,13,46.8,14.1,72.5,20.2,17.8,173200,8
"Tucson, AZ","Tucson, AZ",TUCSON_AZ,2011,44.7,12.7,44.7,15.6,69.6,22,20.4,165700,7.5
"Tucson, AZ","Tucson, AZ",TUCSON_AZ,2012,45.9,12.4,36.3,16,72.7,19.3,20,153500,5.7
"Tucson, AZ","Tucson, AZ",TUCSON_AZ,2013,44.2,12.9,45.5,14.6,69.5,21.3,19.5,155300,7.1
"Tucson, AZ","Tucson, AZ",TUCSON_AZ,2015,44.1,12.7,41.5,15.1,69.9,21.2,18.9,165900,4.5
"Tucson, AZ","Tucson, AZ",TUCSON_AZ,2016,44.8,12,53.3,13.7,70.6,22.1,18.4,170300,4.8
"Tulsa, OK","Tulsa, OK",TULSA_OK,2007,51.6,13.4,30.3,9.9,74.7,18.4,14.2,119700,7.8
"Tulsa, OK","Tulsa, OK",TULSA_OK,2008,53.6,12.1,37.6,9.8,76.3,17.1,13.2,124200,8
"Tulsa, OK","Tulsa, OK",TULSA_OK,2009,53,12.8,35.6,10.4,75.2,17.6,13.5,126600,8.6
"Tulsa, OK","Tulsa, OK",TULSA_OK,2010,51,12.1,32.7,11.8,73.2,19.7,15.5,128400,6.4
"Tulsa, OK","Tulsa, OK",TULSA_OK,2011,51.5,11.7,43.7,13.1,74.1,19.3,15.3,126800,6.8
"Tulsa, OK","Tulsa, OK",TULSA_OK,2012,50.3,11.8,34.4,12.4,72.4,19.7,15.1,128400,5.7
"Tulsa, OK","Tulsa, OK",TULSA_OK,2013,51,11.2,35.8,12.9,73.1,19.2,14.8,128100,6.7
"Tulsa, OK","Tulsa, OK",TULSA_OK,2014,50.8,11.6,36.9,12.5,73.2,19.3,14.4,133100,6.1
"Tulsa, OK","Tulsa, OK",TULSA_OK,2015,51.3,10.8,37.8,12.4,72.9,19.2,15.4,141800,8.1
"Tulsa, OK","Tulsa, OK",TULSA_OK,2016,49.4,10.6,35.3,12.4,72.6,19.5,15.1,143400,9.2
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",VIRGINIA_BEACH_NC,2006,51.2,12.4,35,6.4,72.5,22,9.7,225000,7.3
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",VIRGINIA_BEACH_NC,2007,49.5,11.7,38.2,5.7,70.5,22.2,10.4,239100,8.1
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",VIRGINIA_BEACH_NC,2008,49.9,11,41.7,6.4,72,22.1,10.4,256400,6.4
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",VIRGINIA_BEACH_NC,2010,48.6,10.4,30.7,8.6,72.6,21.6,10.6,246200,6.6
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",VIRGINIA_BEACH_NC,2011,47.6,10.2,37.1,10.4,70.9,22.4,11.7,239900,6.6
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",VIRGINIA_BEACH_NC,2012,46.9,10.1,38.2,11.7,69.3,24.2,13.1,233300,6.8
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",VIRGINIA_BEACH_NC,2013,45.4,9.3,36.8,10.8,69.4,23.9,13,229700,6.9
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",VIRGINIA_BEACH_NC,2014,47,9.8,36.5,11.4,70.1,22.8,12.4,232300,6.4
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",VIRGINIA_BEACH_NC,2015,46.4,9.3,33.7,10.6,70.8,21.9,12.3,236900,8
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",VIRGINIA_BEACH_NC,2016,45.4,8.9,30.8,9.7,70,23.2,11.4,239900,9.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2006,49.1,10.4,32.3,3.5,73.7,19.3,7,454100,7.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2007,49.5,10.4,26.6,3.5,74.4,18.9,6.8,458500,7.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2008,48.9,10.7,28.4,4.3,73.8,19.4,7.1,430600,7.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2009,49.2,10,27.6,5.3,75.9,18.2,7.5,387900,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2010,48.5,10.4,29.3,5.9,73.6,19.3,8.4,376200,5.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2011,48.5,9.6,28,6.9,73.5,19.5,8.3,365100,4.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2012,48,9.9,28,7.4,74,19.3,8.4,367600,3.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2013,48.3,9.5,31,7.9,73.7,19.1,8.5,373500,3.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2014,48,9.8,26.1,8,73.9,19.3,8.7,386900,3.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2015,48.3,9.8,28.5,7.8,74.9,18.3,8.3,401500,5.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",WASHINGTON_DC,2016,48.6,9.4,24.9,7.3,74.9,18,8.4,411400,4.5
"Wichita, KS","Wichita, KS",WICHITA_KS,2007,54.2,11.6,23,7.8,76.8,15.7,12.2,112400,7.2
"Wichita, KS","Wichita, KS",WICHITA_KS,2008,52.9,11.1,40.2,9.8,74.5,19.1,12,118300,5.5
"Wichita, KS","Wichita, KS",WICHITA_KS,2009,51.7,10.3,28.6,10.8,73.7,19,12.6,120400,4.3
"Wichita, KS","Wichita, KS",WICHITA_KS,2010,51.3,12.3,36.8,11.4,75.1,18,13.8,119000,2.9
"Wichita, KS","Wichita, KS",WICHITA_KS,2011,50.4,10.7,31.3,12.6,73.5,18.8,14.8,123600,4.9
"Wichita, KS","Wichita, KS",WICHITA_KS,2012,52,10.2,30.2,12.5,74.8,17.5,15.1,123000,3.8
"Wichita, KS","Wichita, KS",WICHITA_KS,2013,51.2,10.3,39.3,12.8,75,17.9,14.9,121700,3.5
"Wichita, KS","Wichita, KS",WICHITA_KS,2015,48.5,10.7,36.7,10,73.1,18.6,14.1,127800,4.7
"Wichita, KS","Wichita, KS",WICHITA_KS,2016,50.6,10.4,35.7,9.7,76.5,16.8,14,132400,6.5
"Winston-Salem, NC","Winston-Salem, NC",WINSTON_NC,2013,48.1,15.3,43,14.4,72.4,20.6,20,144000,3.5
"Winston-Salem, NC","Winston-Salem, NC",WINSTON_NC,2014,49.2,14.8,35.2,13.7,73.1,20.2,18.8,138400,3.4
"Worcester, MA","Worcester, MA-CT",WORCESTER_MA,2007,51.1,11.9,31.8,6.8,76.3,17.1,9.5,287300,2.3
"Worcester, MA","Worcester, MA-CT",WORCESTER_MA,2008,50.8,11,35.6,7.4,76,17.7,8.1,282800,1.9
"Worcester, MA","Worcester, MA-CT",WORCESTER_MA,2009,50.1,11.5,30.8,9.8,75.4,17.4,9.4,271600,2
"Worcester, MA","Worcester, MA-CT",WORCESTER_MA,2010,48.4,11.5,21.4,12.2,75.8,17.9,10.8,268100,1.7
"Worcester, MA","Worcester, MA-CT",WORCESTER_MA,2011,47.6,11.2,45.3,13.5,73.2,20,11.6,255900,2
"Worcester, MA-CT","Worcester, MA-CT",WORCESTER_MA,2013,47.9,10,27.9,13.4,73.2,19.2,13.3,241400,1.6
"Worcester, MA-CT","Worcester, MA-CT",WORCESTER_MA,2014,48.2,10,30.4,13.8,73.9,18.2,11.2,244400,0.9
"Worcester, MA-CT","Worcester, MA-CT",WORCESTER_MA,2015,46.2,10.6,41.5,12.4,73.4,20,11.9,247600,1.6
"Worcester, MA-CT","Worcester, MA-CT",WORCESTER_MA,2016,45.7,10.3,32.2,12.6,73.4,19.4,9.9,258600,1.4
"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA",YOUNGSTOWN_OH,2008,48.5,13,50.5,12.1,71.5,21.5,15.9,101500,7.2
"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA",YOUNGSTOWN_OH,2009,49.1,13.1,44.8,14.9,72.4,21.1,16.2,97700,5.7
"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA",YOUNGSTOWN_OH,2010,46.6,11.2,38.1,15.1,71.8,21,17.1,98600,5.9
"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA",YOUNGSTOWN_OH,2012,47.8,11.3,46.4,18,71.2,22,17.3,97600,5.7
"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA",YOUNGSTOWN_OH,2014,46.2,10.8,55.2,16.7,69.2,23.1,17.2,100000,4.3
